Months,Price_raw,unit_raw,source,price_usd_per_liter,fx_rial_per_usd,notes,benchmark_price_usd_per_gallon,benchmark_usd_per_liter_ross,cpi,deflator,price_usd_2015,benchmark_usd_2015,bmgap2015adj
2005-01,800,rial_per_liter,ross/iran_rial_series,0.0903852672,8851,converted from rial using BIS end-of-period IRR/USD,1.241,0.4278731836,191.60,1.24,0.111803179,0.5292630494,0.3160700046
2005-02,800,rial_per_liter,ross/iran_rial_series,0.09035464197,8854,converted from rial using BIS end-of-period IRR/USD,1.224,0.4233817701,192.40,1.23,0.1113005762,0.5215297624,0.312081194
2005-03,800,rial_per_liter,ross/iran_rial_series,0.09012053622,8877,converted from rial using BIS end-of-period IRR/USD,1.439,0.4801849406,193.10,1.23,0.1106097738,0.5893567648,0.3695751667
2005-04,800,rial_per_liter,ross/iran_rial_series,0.08985735145,8903,converted from rial using BIS end-of-period IRR/USD,1.48,0.4910171731,193.70,1.22,0.1099451317,0.6007849873,0.3810720414
2005-05,800,rial_per_liter,ross/iran_rial_series,0.08926578889,8962,converted from rial using BIS end-of-period IRR/USD,1.371,0.4622192867,193.60,1.22,0.1092777402,0.5658414017,0.3529415465
2005-06,800,rial_per_liter,ross/iran_rial_series,0.08903728436,8985,converted from rial using BIS end-of-period IRR/USD,1.509,0.498678996,193.70,1.22,0.1089417371,0.6101596253,0.389737259
2005-07,800,rial_per_liter,ross/iran_rial_series,0.0889185284,8997,converted from rial using BIS end-of-period IRR/USD,1.591,0.520343461,194.90,1.22,0.1081265729,0.6327472599,0.4122168881
2005-08,800,rial_per_liter,ross/iran_rial_series,0.0888000888,9009,converted from rial using BIS end-of-period IRR/USD,1.937,0.6117569353,196.10,1.21,0.1073217677,0.7393555185,0.5044351676
2005-09,800,rial_per_liter,ross/iran_rial_series,0.08854454898,9035,converted from rial using BIS end-of-period IRR/USD,2.133,0.6635402906,198.80,1.19,0.1055595332,0.7910481688,0.5579807574
2005-10,800,rial_per_liter,ross/iran_rial_series,0.08829047566,9061,converted from rial using BIS end-of-period IRR/USD,1.709,0.5515191546,199.10,1.19,0.1050980377,0.6565100084,0.4464211168
2005-11,800,rial_per_liter,ross/iran_rial_series,0.08813484631,9077,converted from rial using BIS end-of-period IRR/USD,1.47,0.4883751651,198.10,1.20,0.1054423768,0.5842801155,0.3829327883
2005-12,800,rial_per_liter,ross/iran_rial_series,0.08799912001,9091,converted from rial using BIS end-of-period IRR/USD,1.6,0.5227212682,198.10,1.20,0.1052799972,0.6253709541,0.417441271
2006-01,800,rial_per_liter,ross/iran_rial_series,0.08779631255,9112,converted from rial using BIS end-of-period IRR/USD,1.735,0.5583883752,199.30,1.19,0.1044049256,0.664019878,0.4539834496
2006-02,800,rial_per_liter,ross/iran_rial_series,0.08761362392,9131,converted from rial using BIS end-of-period IRR/USD,1.499,0.4960369881,199.40,1.19,0.1041354268,0.5895775239,0.3919015614
2006-03,800,rial_per_liter,ross/iran_rial_series,0.08749863283,9143,converted from rial using BIS end-of-period IRR/USD,1.765,0.5663143989,199.70,1.19,0.1038425187,0.6720963704,0.4624718803
2006-04,800,rial_per_liter,ross/iran_rial_series,0.08744125041,9149,converted from rial using BIS end-of-period IRR/USD,2.135,0.6640686922,200.70,1.18,0.1032573554,0.7841833991,0.5608113368
2006-05,800,rial_per_liter,ross/iran_rial_series,0.08734578011,9159,converted from rial using BIS end-of-period IRR/USD,2.042,0.6394980185,201.30,1.18,0.1028371812,0.7529175826,0.5366608373
2006-06,800,rial_per_liter,ross/iran_rial_series,0.08716495969,9178,converted from rial using BIS end-of-period IRR/USD,2.065,0.6455746367,201.80,1.17,0.1023700187,0.7581887019,0.543204618
2006-07,800,rial_per_liter,ross/iran_rial_series,0.08710801394,9184,converted from rial using BIS end-of-period IRR/USD,2.237,0.6910171731,202.90,1.17,0.1017485141,0.8071584625,0.5892686589
2006-08,800,rial_per_liter,ross/iran_rial_series,0.08709853021,9185,converted from rial using BIS end-of-period IRR/USD,2.038,0.6384412153,203.80,1.16,0.1012881544,0.7424526247,0.537153061
