year,onset_rate,n_onsets,n_obs
2005,0.5555555555555567,2,360
2006,0.8333333333333353,3,360
2007,1.111111111111114,4,360
2008,8.333333333333332,30,360
2009,18.055555555555568,65,360
2010,8.88888888888889,32,360
2011,9.166666666666668,33,360
2012,0.2777777777777785,1,360
2013,0.555555555555557,2,360
2014,0.8333333333333346,3,360
2015,1.1111111111111132,4,360
2016,0.5555555555555569,2,360
2017,9.444444444444438,34,360
2018,42.22222222222222,152,360
2019,8.333333333333332,30,360
2020,0.27777777777777846,1,360
2021,0.8333333333333341,3,360
2022,0.8333333333333337,3,360
