province,year,month,n_events_mm,onset_mm,n_events_acled,onset_acled,source
Ardabil,2005,1,0.0,0.0,,,MM
Ardabil,2005,2,0.0,0.0,,,MM
Ardabil,2005,3,0.0,0.0,,,MM
Ardabil,2005,4,0.0,0.0,,,MM
Ardabil,2005,5,0.0,0.0,,,MM
Ardabil,2005,6,0.0,0.0,,,MM
Ardabil,2005,7,0.0,0.0,,,MM
Ardabil,2005,8,0.0,0.0,,,MM
Ardabil,2005,9,0.0,0.0,,,MM
Ardabil,2005,10,0.0,0.0,,,MM
Ardabil,2005,11,0.0,0.0,,,MM
Ardabil,2005,12,0.0,0.0,,,MM
Ardabil,2006,1,0.0,0.0,,,MM
Ardabil,2006,2,0.0,0.0,,,MM
Ardabil,2006,3,0.0,0.0,,,MM
Ardabil,2006,4,0.0,0.0,,,MM
Ardabil,2006,5,0.0,0.0,,,MM
Ardabil,2006,6,0.0,0.0,,,MM
Ardabil,2006,7,0.0,0.0,,,MM
Ardabil,2006,8,0.0,0.0,,,MM
Ardabil,2006,9,0.0,0.0,,,MM
Ardabil,2006,10,0.0,0.0,,,MM
Ardabil,2006,11,0.0,0.0,,,MM
Ardabil,2006,12,0.0,0.0,,,MM
Ardabil,2007,1,0.0,0.0,,,MM
Ardabil,2007,2,0.0,0.0,,,MM
Ardabil,2007,3,0.0,0.0,,,MM
Ardabil,2007,4,0.0,0.0,,,MM
Ardabil,2007,5,0.0,0.0,,,MM
Ardabil,2007,6,0.0,0.0,,,MM
Ardabil,2007,7,0.0,0.0,,,MM
Ardabil,2007,8,0.0,0.0,,,MM
Ardabil,2007,9,0.0,0.0,,,MM
Ardabil,2007,10,0.0,0.0,,,MM
Ardabil,2007,11,0.0,0.0,,,MM
Ardabil,2007,12,0.0,0.0,,,MM
Ardabil,2008,1,0.0,0.0,,,MM
Ardabil,2008,2,0.0,0.0,,,MM
Ardabil,2008,3,0.0,0.0,,,MM
Ardabil,2008,4,0.0,0.0,,,MM
Ardabil,2008,5,0.0,0.0,,,MM
Ardabil,2008,6,0.0,0.0,,,MM
Ardabil,2008,7,0.0,0.0,,,MM
Ardabil,2008,8,0.0,0.0,,,MM
Ardabil,2008,9,0.0,0.0,,,MM
Ardabil,2008,10,1.0,1.0,,,MM
Ardabil,2008,11,0.0,0.0,,,MM
Ardabil,2008,12,0.0,0.0,,,MM
Ardabil,2009,1,0.0,0.0,,,MM
Ardabil,2009,2,0.0,0.0,,,MM
Ardabil,2009,3,0.0,0.0,,,MM
Ardabil,2009,4,0.0,0.0,,,MM
Ardabil,2009,5,0.0,0.0,,,MM
Ardabil,2009,6,0.0,0.0,,,MM
Ardabil,2009,7,0.0,0.0,,,MM
Ardabil,2009,8,0.0,0.0,,,MM
Ardabil,2009,9,1.0,1.0,,,MM
Ardabil,2009,10,0.0,0.0,,,MM
Ardabil,2009,11,0.0,0.0,,,MM
Ardabil,2009,12,1.0,1.0,,,MM
Ardabil,2010,1,0.0,0.0,,,MM
Ardabil,2010,2,1.0,1.0,,,MM
Ardabil,2010,3,0.0,0.0,,,MM
Ardabil,2010,4,0.0,0.0,,,MM
Ardabil,2010,5,0.0,0.0,,,MM
Ardabil,2010,6,0.0,0.0,,,MM
Ardabil,2010,7,0.0,0.0,,,MM
Ardabil,2010,8,0.0,0.0,,,MM
Ardabil,2010,9,0.0,0.0,,,MM
Ardabil,2010,10,0.0,0.0,,,MM
