Year,Province,median,mean,count
1384,Ardabil,60000.0,103695.15,237
1384,Bushehr,48000.0,77908.14,479
1384,Chaharmahal_and_Bakhtiari,80000.0,117269.64,224
1384,East_Azerbaijan,100000.0,136908.14,221
1384,Fars,52000.0,79595.18,444
1384,Gilan,62000.0,91907.96,314
1384,Golestan,58800.0,86228.51,435
1384,Hamadan,56000.0,85615.7,293
1384,Hormozgan,52000.0,85763.01,346
1384,Ilam,75000.0,95855.555,198
1384,Isfahan,60000.0,91388.89,594
1384,Kerman,64000.0,90008.99,484
1384,Kermanshah,100000.0,122108.375,203
1384,Khuzestan,60000.0,113806.4,250
1384,Kohgiluyeh_and_Boyer_Ahmad,75000.0,89233.336,234
1384,Kurdistan,40000.0,64494.14,239
1384,Lorestan,85000.0,112770.0,100
1384,Markazi,35000.0,65403.312,302
1384,Mazandaran,80000.0,104982.484,314
1384,North_Khorasan,40000.0,88618.75,208
1384,Qazvin,48000.0,89302.305,325
1384,Qom,50000.0,79397.2,358
1384,Razavi_Khorasan,50000.0,83603.73,510
1384,Semnan,40000.0,58009.176,327
1384,Sistan_and_Baluchestan,75000.0,119863.31,308
1384,South_Khorasan,70000.0,96445.08,315
1384,Tehran,150000.0,163909.97,793
1384,West_Azerbaijan,80500.0,101625.0,232
1384,Yazd,50000.0,79967.19,640
1384,Zanjan,35000.0,57984.594,370
1385,Ardabil,75000.0,103725.45,278
1385,Bushehr,48000.0,72414.93,576
1385,Chaharmahal_and_Bakhtiari,90000.0,136582.81,221
1385,East_Azerbaijan,50000.0,78238.984,454
1385,Fars,48000.0,74751.58,539
1385,Gilan,50000.0,75833.43,338
1385,Golestan,65000.0,84797.37,494
1385,Hamadan,48000.0,74123.8,321
1385,Hormozgan,57000.0,96381.484,467
1385,Ilam,60000.0,81313.85,231
1385,Isfahan,60000.0,95128.68,638
1385,Kerman,70000.0,89469.88,581
1385,Kermanshah,70200.0,109590.37,270
1385,Khuzestan,72000.0,116412.46,321
1385,Kohgiluyeh_and_Boyer_Ahmad,80000.0,92890.555,233
1385,Kurdistan,50000.0,82170.195,208
1385,Lorestan,100000.0,142216.67,120
1385,Markazi,40000.0,65026.188,485
1385,Mazandaran,40000.0,64672.473,525
1385,North_Khorasan,30000.0,57122.74,365
1385,Qazvin,40000.0,89011.97,351
1385,Qom,40000.0,63614.348,467
1385,Razavi_Khorasan,48000.0,68941.26,572
1385,Semnan,56000.0,70776.086,552
1385,Sistan_and_Baluchestan,65000.0,115282.82,326
1385,South_Khorasan,65000.0,87181.59,440
1385,Tehran,130000.0,158811.16,896
1385,West_Azerbaijan,100000.0,116611.68,351
1385,Yazd,45000.0,78092.625,678
1385,Zanjan,50000.0,83405.07,414
1386,Ardabil,80000.0,109581.33,316
1386,Bushehr,50000.0,95572.5,669
