province,gregorian_year,unemployment_rate
Ardabil,2005,11.6
Ardabil,2006,11.1
Ardabil,2007,11.8
Ardabil,2008,9.9
Ardabil,2009,12
Ardabil,2010,14.2
Ardabil,2011,12.7
Ardabil,2012,13.4
Ardabil,2013,12.3
Ardabil,2014,11.4
Ardabil,2015,12.9
Ardabil,2016,15.3
Ardabil,2017,10.4
Ardabil,2018,9.3
Ardabil,2019,10
Ardabil,2020,7.4
Bushehr,2005,12.7
Bushehr,2006,10.5
Bushehr,2007,9.3
Bushehr,2008,19.7
Bushehr,2009,11.7
Bushehr,2010,13.3
Bushehr,2011,11
Bushehr,2012,11.7
Bushehr,2013,9.1
Bushehr,2014,9
Bushehr,2015,1.7
Bushehr,2016,11.3
Bushehr,2017,11
Bushehr,2018,10.5
Bushehr,2019,9.9
Bushehr,2020,9.7
Chaharmahal and Bakhtiari,2005,11.7
Chaharmahal and Bakhtiari,2006,12.5
Chaharmahal and Bakhtiari,2007,12.4
Chaharmahal and Bakhtiari,2008,14.1
Chaharmahal and Bakhtiari,2009,16.4
Chaharmahal and Bakhtiari,2010,13.6
Chaharmahal and Bakhtiari,2011,13.3
Chaharmahal and Bakhtiari,2012,10.8
Chaharmahal and Bakhtiari,2013,10.7
Chaharmahal and Bakhtiari,2014,14.9
Chaharmahal and Bakhtiari,2015,16.4
Chaharmahal and Bakhtiari,2016,20.2
Chaharmahal and Bakhtiari,2017,20.8
Chaharmahal and Bakhtiari,2018,17.4
Chaharmahal and Bakhtiari,2019,15.3
Chaharmahal and Bakhtiari,2020,15.2
East Azerbaijan,2005,5.2
East Azerbaijan,2006,5.3
East Azerbaijan,2007,7.1
East Azerbaijan,2008,6.8
East Azerbaijan,2009,10
East Azerbaijan,2010,11.7
East Azerbaijan,2011,8.8
East Azerbaijan,2012,12.5
East Azerbaijan,2013,9.6
East Azerbaijan,2014,7.8
East Azerbaijan,2015,8.3
East Azerbaijan,2016,10.8
East Azerbaijan,2017,10.7
East Azerbaijan,2018,10.9
East Azerbaijan,2019,10
East Azerbaijan,2020,8
Fars,2005,13.2
Fars,2006,13.7
Fars,2007,11.6
Fars,2008,12.2
Fars,2009,14.4
Fars,2010,20.5
Fars,2011,18.5
Fars,2012,16.8
Fars,2013,13.3
Fars,2014,12.4
Fars,2015,12.2
Fars,2016,11.4
Fars,2017,10.8
Fars,2018,8.9
Fars,2019,8
Fars,2020,7.7
Gilan,2005,13.7
Gilan,2006,11.4
Gilan,2007,12.1
Gilan,2008,13
Gilan,2009,15.3
Gilan,2010,16.7
Gilan,2011,16.6
Gilan,2012,15.6
Gilan,2013,13.6
Gilan,2014,13.3
Gilan,2015,11
Gilan,2016,11.3
Gilan,2017,10.7
Gilan,2018,11.4
Gilan,2019,10.3
Gilan,2020,9.6
Golestan,2005,8.7
Golestan,2006,9
Golestan,2007,8.9
Golestan,2008,8.3
Golestan,2009,7.1
Golestan,2010,8.5
Golestan,2011,8.7
Golestan,2012,8.9
Golestan,2013,5.8
Golestan,2014,12.3
Golestan,2015,11.7
Golestan,2016,12.6
Golestan,2017,12.3
Golestan,2018,9.8
Golestan,2019,10.9
Golestan,2020,9.1
Hamedan,2005,11.2
Hamedan,2006,13.55
Hamedan,2007,13.9
Hamedan,2008,14
Hamedan,2009,18
Hamedan,2010,13.9
Hamedan,2011,12.4
Hamedan,2012,9.7
Hamedan,2013,7.7
Hamedan,2014,7.7
Hamedan,2015,8.5
Hamedan,2016,9.5
Hamedan,2017,10.7
Hamedan,2018,8.3
Hamedan,2019,7.3
Hamedan,2020,8.2
Hormozgan,2005,10.5
Hormozgan,2006,7.7
Hormozgan,2007,9.4
Hormozgan,2008,8.4
Hormozgan,2009,6.9
Hormozgan,2010,11.2
Hormozgan,2011,11
Hormozgan,2012,11.5
Hormozgan,2013,7.3
Hormozgan,2014,10.3
Hormozgan,2015,11.9
Hormozgan,2016,10.3
Hormozgan,2017,9
Hormozgan,2018,11.2
Hormozgan,2019,13.9
Hormozgan,2020,13.5
Ilam,2005,15.1
Ilam,2006,13.6
Ilam,2007,12.7
Ilam,2008,14.6
Ilam,2009,12.6
Ilam,2010,15.8
Ilam,2011,15.7
Ilam,2012,17.3
Ilam,2013,13.8
Ilam,2014,11.1
Ilam,2015,11.6
Ilam,2016,11.6
Ilam,2017,11.5
Ilam,2018,11.2
Ilam,2019,8.3
Ilam,2020,6.7
Isfahan,2005,12.3
Isfahan,2006,11
Isfahan,2007,9.6
Isfahan,2008,9.4
Isfahan,2009,12
Isfahan,2010,15.3
Isfahan,2011,13.2
Isfahan,2012,13.8
Isfahan,2013,10.8
Isfahan,2014,12.4
Isfahan,2015,13.8
Isfahan,2016,14.6
