date,cpi,yearmonth
2005-01-01,191.6,2005-01
2005-02-01,192.4,2005-02
2005-03-01,193.1,2005-03
2005-04-01,193.7,2005-04
2005-05-01,193.6,2005-05
2005-06-01,193.7,2005-06
2005-07-01,194.9,2005-07
2005-08-01,196.1,2005-08
2005-09-01,198.8,2005-09
2005-10-01,199.1,2005-10
2005-11-01,198.1,2005-11
2005-12-01,198.1,2005-12
2006-01-01,199.3,2006-01
2006-02-01,199.4,2006-02
2006-03-01,199.7,2006-03
2006-04-01,200.7,2006-04
2006-05-01,201.3,2006-05
2006-06-01,201.8,2006-06
2006-07-01,202.9,2006-07
2006-08-01,203.8,2006-08
2006-09-01,202.8,2006-09
2006-10-01,201.9,2006-10
2006-11-01,202,2006-11
2006-12-01,203.1,2006-12
2007-01-01,203.437,2007-01
2007-02-01,204.226,2007-02
2007-03-01,205.288,2007-03
2007-04-01,205.904,2007-04
2007-05-01,206.755,2007-05
2007-06-01,207.234,2007-06
2007-07-01,207.603,2007-07
2007-08-01,207.667,2007-08
2007-09-01,208.547,2007-09
2007-10-01,209.19,2007-10
2007-11-01,210.834,2007-11
2007-12-01,211.445,2007-12
2008-01-01,212.174,2008-01
2008-02-01,212.687,2008-02
2008-03-01,213.448,2008-03
2008-04-01,213.942,2008-04
2008-05-01,215.208,2008-05
2008-06-01,217.463,2008-06
2008-07-01,219.016,2008-07
2008-08-01,218.69,2008-08
2008-09-01,218.877,2008-09
2008-10-01,216.995,2008-10
2008-11-01,213.153,2008-11
2008-12-01,211.398,2008-12
2009-01-01,211.933,2009-01
2009-02-01,212.705,2009-02
2009-03-01,212.495,2009-03
2009-04-01,212.709,2009-04
2009-05-01,213.022,2009-05
2009-06-01,214.79,2009-06
2009-07-01,214.726,2009-07
2009-08-01,215.445,2009-08
2009-09-01,215.861,2009-09
2009-10-01,216.509,2009-10
2009-11-01,217.234,2009-11
2009-12-01,217.347,2009-12
2010-01-01,217.488,2010-01
2010-02-01,217.281,2010-02
2010-03-01,217.353,2010-03
2010-04-01,217.403,2010-04
2010-05-01,217.29,2010-05
2010-06-01,217.199,2010-06
2010-07-01,217.605,2010-07
2010-08-01,217.923,2010-08
2010-09-01,218.275,2010-09
2010-10-01,219.035,2010-10
2010-11-01,219.59,2010-11
2010-12-01,220.472,2010-12
2011-01-01,221.187,2011-01
2011-02-01,221.898,2011-02
2011-03-01,223.046,2011-03
2011-04-01,224.093,2011-04
2011-05-01,224.806,2011-05
2011-06-01,224.806,2011-06
2011-07-01,225.395,2011-07
2011-08-01,226.106,2011-08
2011-09-01,226.597,2011-09
2011-10-01,226.75,2011-10
2011-11-01,227.169,2011-11
2011-12-01,227.223,2011-12
2012-01-01,227.842,2012-01
2012-02-01,228.329,2012-02
2012-03-01,228.807,2012-03
2012-04-01,229.187,2012-04
2012-05-01,228.713,2012-05
2012-06-01,228.524,2012-06
2012-07-01,228.59,2012-07
2012-08-01,229.918,2012-08
