Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Alborz – Cost in Rials;Alborz – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);270336471;100;281861599;100;262669560;100;376093132;100;329757605;100;378722114;100;380726319;100;506489362;100;307655421;100;433776904;100;253220641;100;252631463;100;337825223;100;308188451;100;312683906;100;234837821;100;341943742;100;342157270;100;317613763;100;259690464;100;336047758;100;264032030;100;463654322;100;295804793;100;339510177;100;213585078;100;338221924;100;321171120;100;244887468;100;320038637;100;391305830;100;;;
Food & Beverages;75066503;27.8;77291957;27.4;76261121;29;92791665;24.7;53456331;16.2;138378468;36.5;97894804;25.7;79567421;15.7;113467394;36.9;127706721;29.4;60938444;24.1;70018557;27.7;88050038;26.1;83474567;27.1;88488569;28.3;90380206;38.5;74549378;21.8;92861719;27.1;70337054;22.1;78931847;30.4;98186728;29.2;83776927;31.7;139380164;30.1;78483432;26.5;87372504;25.7;71682690;33.6;80504360;23.8;95836378;29.8;65262608;26.6;96594043;30.2;110422767;28.2;;;
Tobacco;1389503;0.5;1925185;0.7;1557561;0.6;1067204;0.3;1113441;0.3;1475208;0.4;685326;0.2;1190969;0.2;872578;0.3;714792;0.2;397848;0.2;288245;0.1;945183;0.3;982078;0.3;324888;0.1;444083;0.2;1175862;0.3;1017057;0.3;737604;0.2;1108783;0.4;2304003;0.7;1437731;0.5;1805039;0.4;845013;0.3;1394889;0.4;1042265;0.5;708349;0.2;1744396;0.5;670117;0.3;1431365;0.4;1438657;0.4;;;
Clothing & Shoes;14344896;5.3;21025833;7.4;15439150;5.9;15148512;4;16601061;5;23262375;6.1;16482500;4.3;16986716;3.4;14853000;4.8;23740000;5.5;9446500;3.7;17438125;6.9;13126442;3.9;16440500;5.3;11517550;3.7;11128000;4.7;11370768;3.3;20293450;5.9;14022000;4.4;16522000;6.4;16280162;4.8;13774982;5.2;33893438;7.3;19724688;6.7;17992219;5.3;7409500;3.5;20402181;6;18380700;5.7;9798438;4;15736017;4.9;24180502;6.2;;;
Housing; water; electricity; gas and fuels;89514769;33.1;73567355;26.1;67433298;25.7;128634722;34.2;147617805;44.8;68650313;18.1;107816172;28.3;252556286;49.9;79537005;25.8;54639126;12.6;91046943;36;54830189;21.7;99379142;20.4;74129613;24;59734767;19.1;55846593;23.8;126009697;36.8;86051178;25.1;93273703;29.4;73340412;28.2;79194537;23.6;69377323;26.3;91151091;19.6;79475073;26.9;97688809;28.8;58438257;27.4;103480557;30.6;80415292;25;83487254;34.1;81570663;25.5;88929303;22.7
Supplies & services used in home furnishings;11463481;4.2;11580900;4.1;12060113;4.6;15478612;4.1;6812860;2.1;19888036;5.2;18124176;4.8;16630846;3.3;12131689;3.9;29296188;6.8;10200011;4;16568240;6.6;14481956;4.3;16792642;5.4;24369933;7.8;9638842;4.1;11379308;3.3;14700125;4.3;14614133;4.6;12947552;5;16748023;5;12255500;4.6;34157927;7.4;15131979;5.1;15853559;4.7;6984477;3.3;12842683;3.8;16381283;5.1;7490906;3;15357173;4.8;18728469;4.8;;;
Healthcare;16836232;6.2;12774987;4.5;15372621;5.8;22452330;6;17862539;5.4;20109498;5.3;22208828;5.8;30645379;6;8743836;2.8;16267194;3.8;13754857;5.4;12147396;4.8;24266923;7.2;14237784;4.6;22502323;7.2;11934498;5.1;26428403;7.7;19584667;5.7;24477375;7.7;12165922;4.7;17713924;5.3;13131143;5;24021531;5.2;14313042;4.8;22601568;6.6;13591200;6.4;17113063;5;21095348;6.6;8913427;3.6;18471575;5.8;15760155;4;;;
Transportation;20213573;7.5;30433224;10.8;30257548;11.5;41451176;11;34936337;10.6;41113055;10.8;47539471;12.5;41355218;8.2;25353667;8.2;70646601;16.3;26994771;10.7;24407063;9.7;40465227;12;42070877;13.6;33343190;10.7;20252557;8.6;35506391;10.4;39511994;11.5;39430344;12.4;24697542;9.5;40450439;12;26184557;9.9;48362039;10.4;38004664;12.8;42158732;12.4;18957193;8.9;39926839;11.8;29071050;9;27333027;11.2;30636002;9.6;54889571;14;;;
Communications;4847292;1.8;6769917;2.4;5527925;2.1;6001519;1.6;8312848;2.5;8398219;2.2;9982123;2.6;9551264;1.9;5855028;1.9;9305453;2.1;5036967;2;7026552;2.8;8396253;2.5;7287283;2.4;7506693;2.4;5704325;2.4;7277673;2.1;8618422;2.5;6886739;2.2;5991700;2.3;7669556;2.3;5457416;2.1;13315173;2.9;5622346;1.9;7395488;2.2;5466312;2.6;9038532;2.7;7297982;2.3;6117490;2.5;7634396;2.4;8003430;2;;;
Recreation & cultural affairs;3300556;1.2;5666968;2;4888358;1.9;7593101;2;4225445;1.3;7578953;2;9162927;2.4;9685049;1.9;3986068;1.3;11304688;2.6;4720405;1.9;6870958;2.7;5556383;1.6;6520917;2.1;8259583;2.6;2581025;1.1;6218060;1.8;8158125;2.4;8195088;2.6;6777708;2.6;9350561;2.8;7041551;2.7;9073052;2;9203281;3.1;6443781;1.9;2950975;1.4;6799014;2;5674042;1.8;3470083;1.4;8675393;2.7;7484121;1.9;;;
