Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Alborz – Cost in Rials;Alborz – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);252424636;100;270786741;100;247749273;100;357150473;100;286187134;100;362066733;100;347148961;100;482578311;100;289897683;100;287694051;100;251127453;100;248331670;100;292292198;100;274517127;100;346621159;100;198273004;100;335989902;100;329416088;100;266983232;100;234131402;100;330336406;100;217035471;100;442873048;100;254454910;100;316146791;100;190640606;100;306795567;100;310307887;100;221884329;100;318163119;100;301898101;100;;;
Food & Beverages;70395557;27.9;81284809;30;83119495;33.6;90697869;25.4;50998142;17.8;141863689;39.2;95847508;27.6;75105684;15.6;113719523;39.2;88784880;30.9;64761264;25.8;69422427;28;83336891;28.5;76526871;27.9;106514877;30.7;82994858;41.9;78021800;23.2;86348965;26.2;67050718;25.1;75849929;32.4;90557213;27.4;67925493;31.3;139926242;31.6;78837295;31;92151927;29.2;67196637;35.2;82067043;26.7;96228877;31;66370571;29.9;97891070;30.8;79133914;26.2;;;
Tobacco;1228516;0.5;1983103;0.7;1595442;0.6;1284484;0.4;800131;0.3;1849714;0.5;789408;0.2;1202891;0.2;832371;0.3;599315;0.2;633447;0.3;347415;0.1;861172;0.3;1140815;0.4;1203740;0.4;1205894;0.6;1256697;0.4;1120854;0.3;1066484;0.4;1596147;0.7;2113958;0.6;1424423;0.7;1671966;0.4;490469;0.2;1229879;0.4;981546;0.5;803000;0.3;1569690;0.5;539326;0.2;1304229;0.4;1036106;0.3;;;
Clothing & Shoes;12105500;4.8;21919139;8.1;15570471;6.3;13547145;3.8;9095044;3.2;24860375;6.9;17693750;5.1;16149383;3.4;12630688;4.4;17421399;6.1;12076336;4.8;13563125;5.5;14102365;4.8;17550900;6.4;17572850;5.1;10867708;5.5;14422661;4.3;21181950;6.4;15125350;5.7;11947021;5.1;17028188;5.2;11375304;5.2;29151563;6.6;13416063;5.3;14787031;4.7;6475250;3.4;15892181;5.2;25172980;8.1;8800313;4;21772550;6.8;17020870;5.6;;;
Housing; water; electricity; gas and fuels;78075924;30.9;61110648;22.6;55529101;22.4;113145776;31.7;133195542;46.5;52963354;14.6;88583458;25.5;241281200;50;74731592;25.8;45320893;15.7;74587738;29.7;45531949;18.3;80433705;27.5;59542662;21.7;51915132;15;40219220;20.3;112385810;33.4;78891314;24;75045445;28.1;61636393;26.3;69555991;21.1;57727589;26.6;70742993;16;60274631;23.7;87049139;27.5;49959991;26.2;87163036;28.4;66835869;21.5;66026282;29.8;71638514;22.5;63575597;21.1
Supplies & services used in home furnishings;11344743;4.5;16302440;6;11883457;4.8;17373123;4.9;7565367;2.6;17885703;4.9;19858581;5.7;14437703;3;13015195;4.5;17436647;6.1;9277950;3.7;12286665;5;12692014;4.3;13898054;5.1;19056751;5.5;8253628;4.2;12435245;3.7;13777205;4.2;13822920;5.2;10143911;4.3;19109379;5.8;7804731;3.6;25022646;5.6;12939874;5.1;12768422;4;6311652;3.3;11794968;3.8;17432858;5.6;5717323;2.6;21240754;6.7;17847046;5.9;;;
Healthcare;14195736;5.6;10283991;3.8;13880785;5.6;21115664;5.9;16767498;5.9;20911635;5.8;12753344;3.7;28762441;6;8724365;3;9988590;3.5;13544233;5.4;14544371;5.9;17355888;5.9;14356663;5.2;20986625;6.1;7002854;3.5;24078485;7.2;18001142;5.5;18950034;7.1;12500277;5.3;21859563;6.6;12600173;5.8;32740417;7.4;14216563;5.6;20215430;6.4;14134108;7.4;17709571;5.8;16846385;5.4;12833167;5.8;19340089;6.1;12747375;4.2;;;
Transportation;20729450;8.2;31813240;11.7;23281071;9.4;40338669;11.3;26646818;9.3;35229156;9.7;37527445;10.8;41602833;8.6;20793211;7.2;37100600;12.9;30924317;12.3;33603285;13.5;29526014;10.1;34181276;12.4;52221036;15.1;17931090;9;35047298;10.4;40942779;12.4;31348620;11.7;22893705;9.8;41018675;12.4;20316769;9.4;57176218;12.9;28409799;11.2;37898665;12;14091202;7.4;36621378;11.9;26431373;8.5;20354656;9.2;27666758;8.7;52245450;17.3;;;
Connections;4361672;1.7;6671665;2.5;4894063;2;5805108;1.6;6614040;2.3;8432776;2.3;9443417;2.7;8875950;1.8;4778901;1.6;7521167;2.6;5506224;2.2;7313354;2.9;8521585;2.9;5845586;2.1;7015367;2;4766336;2.4;7608003;2.3;7932921;2.4;6373177;2.4;5357532;2.3;8391891;2.5;4335454;2;12370280;2.8;5371125;2.1;6076334;1.9;5228928;2.7;7870794;2.6;7189347;2.3;6682802;3;6678916;2.1;6883853;2.3;;;
Recreation & cultural affairs;4593349;1.8;5105949;1.9;4852953;2;8474952;2.4;3776574;1.3;10414573;2.9;10540479;3;9468063;2;5572719;1.9;15786671;5.5;6713419;2.7;9784625;3.9;5899833;2;8786013;3.2;12618429;3.6;2245368;1.1;7538300;2.2;11527633;3.5;7154458;2.7;3922383;1.7;11074216;3.4;4186590;1.9;13942146;3.2;6605146;2.6;6608065;2.1;3910783;2.1;8268444;2.7;9084975;2.9;1953813;0.9;9705692;3;11362323;3.8;;;
