Price groups and Years,Azarbaijan East – Cost in Rials,Azarbaijan East – Distribution Rate,Azarbaijan West – Cost in Rials,Azarbaijan West – Distribution Rate,Ardabil – Cost in Rials,Ardabil – Distribution Rate,Isfahan – Cost in Rials,Isfahan – Distribution Rate,Alborz – Cost in Rials,Alborz – Distribution Rate,Ilam – Cost in Rials,Ilam – Distribution Rate,Boushehr – Cost in Rials,Boushehr – Distribution Rate,Tehran – Cost in Rials,Tehran – Distribution Rate,Chaharmahal e Bakhtiari – Cost in Rials,Chaharmahal e Bakhtiari – Distribution Rate,Khorasan South – Cost in Rials,Khorasan South – Distribution Rate,Khorasan Razavi – Cost in Rials,Khorasan Razavi – Distribution Rate,Khorasan North – Cost in Rials,Khorasan North – Distribution Rate,khozestan – Cost in Rials,Khozestan – Distribution Rate,Zanjun – Cost in Rials,Zanjun – Distribution Rate,Semnan – Cost in Rials,Semnan – Distribution Rate,Sistan & Balochestan – Cost in Rials,Sistan & Balochestan – Distribution Rate,Fars – Cost in Rials,Fars – Distribution Rate,Qazvin – Cost in Rials,Qazvin – Distribution Rate,Qom – Cost in Rials,Qom – Distribution Rate,Kordestan – Cost in Rials,Kordestan – Distribution Rate,Kerman – Cost in Rials,Kerman – Distribution Rate,Kermanshah – Cost in Rials,Kermanshah – Distribution Rate,Kohgiluyeh and Boyer-Ahmad – Cost in Rials,Kohgiluyeh and Boyer-Ahmad – Distribution Rate,Golestan – Cost in Rials,Golestan – Distribution Rate,Gilan – Cost in Rials,Gilan – Distribution Rate,Lorestan – Cost in Rials,Lorestan – Distribution Rate,Mazandaran – Cost in Rials,Mazandaran – Distribution Rate,Markazi – Cost in Rials,Markazi – Distribution Rate,Hormozgan – Cost in Rials,Hormozgan – Distribution Rate,Hamadan – Cost in Rials,Hamadan – Distribution Rate,Yazd – Cost in Rials,Yazd – Distribution Rate
The total net cost (in Rials),144588510,100,137681393,100,149764361,100,181041783,100,183235295,100,197376035,100,181268613,100,231035606,100,15445357,100,168502349,100,138419845,100,141855017,100,165637927,100,152017491,100,161194442,100,127125329,100,174067009,100,178150456,100,152488863,100,125989680,100,184525580,100,136347189,100,164472199,100,155985168,100,159727605,100,109100392,100,160926810,100,143256524,100,111151034,100,158355909,100,156315351,100
Food & Beverages,39549691,27.3,38078173,27.7,46453465,31,47029937,26,39928879,21.8,61306670,31.1,43473864,24,42847801,18.6,50083089,32.4,45011967,26.7,35911815,25.9,38284395,27,47157960,28.5,40167112,26.4,44567154,27.6,43581572,34.3,45017582,25.9,49498785,27.8,36661128,24,37047592,29.4,50953220,27.6,45094234,33.1,56752856,34.5,41442606,26.6,42530625,26.06.2016,35420608,32.5,40727293,25.3,44012254,30.7,33693699,30.3,51472865,32.5,49646123,31.8
Tobacco,791659,0.5,901422,0.6,443650,0.3,480068,0.3,756907,0.4,494724,0.2,881132,0.5,602300,0.3,678339,0.4,223562,0.1,241206,0.2,102846,0.1,642243,0.4,528071,0.3,562784,0.3,324095,0.2,504048,0.3,590780,0.3,878914,0.6,527380,0.4,714031,0.4,639238,0.5,697048,0.4,357931,0.2,554551,0.4,396746,0.4,414134,0.3,515888,0.4,646829,0.6,519663,0.3,389951,0.2
Clothing & Shoes,7228453,5,9971886,7.2,10048092,6.7,7445026,4.1,7670403,4.2,11552082,5.8,8772281,4.9,7659488,3.3,8329937,5.4,10160812,6,6269838,4.5,9088875,6.4,7172203,4.3,8835550,5.8,9392490,5.8,8479958,6.7,8045151,4.6,11193916,6.3,7712641,5.1,7854875,6.2,8591738,4.7,7229271,5.3,8316125,5.1,6566332,4.2,9708981,6.1,5245365,4.8,9442603,5.9,9338517,6.5,4557562,4.1,8441626,5.3,6850125,4.4
"Housing, water, electricity, gas and fuels",39568257,27.4,31776255,23.1,26193160,17.5,50512765,27.9,62588657,34.2,33708555,17.1,46565753,25.7,101609674,44,32520398,21.1,30245158,18,37636015,27.2,28622276,20.2,40900037,24.7,34136141,22.5,34212606,21.2,24727443,19.5,45148886,25.9,42101032,23.6,45411379,29.8,33342343,26.5,36404684,19.7,31780480,23.3,38717115,23.5,37542406,24.1,43275273,27.01.2016,30386969,27.8,41143567,25.6,31855845,22.2,33218555,29.9,33001117,20.8,30991465,19.8
Supplies & services used in home furnishings,9290478,6.4,8224364,6,10729934,7.2,10070741,5.6,7327037,4,10847604,5.5,9351042,5.2,8128916,3.5,7825663,5.1,10748951,6.4,7480648,5.4,7964903,5.6,8239220,5,9869425,6.5,8039568,5,6255486,4.9,8119683,4.7,8630656,4.8,7352333,4.8,7192631,5.7,11316055,6.1,7133672,5.2,5101561,3.1,8625058,5.5,7634458,4.8,4130908,3.8,8626245,5.4,8403641,5.9,3014945,2.7,9114263,5.8,8463782,5.4
Healthcare,7369978,5.1,5539198,4,7104943,4.7,9615629,5.3,9917744,5.4,14379854,7.3,7616072,4.2,12311003,5.3,9229771,6,6203329,3.7,6804256,4.9,7158572,5,9347119,5.7,6237450,4.1,11589498,7.2,4847520,3.8,11432376,6.6,9543857,5.4,9455281,6.2,7920068,6.3,10294650,5.6,6923035,5.1,6144944,3.7,9492503,6.1,10575841,06.06.2016,7070513,6.5,7142993,4.4,7061879,4.9,3507671,3.2,8652120,5.5,6989667,4.5
Transportation,15379647,10.6,16914688,12.3,20350457,13.6,22412363,12.4,23997622,13.1,25884235,13.1,26722354,14.7,22492228,9.7,14943426,9.7,27807533,16.5,19452072,14.1,16114318,11.4,21412977,12.9,22672097,14.9,18261101,11.3,18265219,14.4,21637834,12.4,19967102,11.2,16820298,11,12831407,10.2,29799166,16.2,14656487,10.7,15397649,9.4,21109130,13.5,17285019,10.08.2016,9682609,8.9,20373740,12.7,14017083,9.8,12761083,11.5,17480355,11,21174226,13.5
Connections,3431764,2.4,3546733,2.6,3038388,2,3331520,1.8,3825205,2.1,5910802,3,5366770,3,4623760,2,3860979,2.5,3517574,2.1,3245155,2.3,3577491,2.5,4741451,2.9,2860417,1.9,3498056,2.2,3491937,2.8,4512067,2.6,4135792,2.3,3396176,2.2,3291412,2.6,4639897,2.5,2601255,1.9,5688891,3.5,3567648,2.3,3742383,2.3,3185311,2.9,4065564,2.5,3153821,2.2,3853848,3.5,3212767,2,3089080,2
Recreation & cultural affairs,2990125,2.1,2920165,2.1,4426780,3,5868290,3.2,4236788,2.3,5534119,2.8,5150817,2.9,5215607,2.3,4838240,3.1,7453845,4.4,4415384,3.2,5292048,3.7,3860450,2.3,4207808,2.8,6334666,4,2581284,2,5279747,3,6523701,3.7,6021348,4,3106059,2.5,5703262,3.1,3358364,2.5,2904236,1.8,5136572,3.3,3782527,2.4,2738576,2.5,5441660,3.4,4095517,2.9,1587708,1.4,4713817,3,5435585,3.5
Schooling,3429450,2.4,3019401,2.2,2930648,2,2958691,1.6,4008622,2.2,6308366,3.2,4631979,2.6,4484163,1.9,4824348,3.1,3373177,2,2488130,1.8,4758223,3.3,3516597,2.1,4087879,2.7,4145270,2.6,2197812,1.7,4857156,2.8,3631274,2,1782996,1.2,2549559,2,3770659,2,1866433,1.4,5599909,3.4,3766038,2.4,3499656,2.2,1836932,1.7,4594903,2.9,3211160,2.2,3539302,3.2,2251309,1.4,2154902,1.4
Restaurants & Hotels,3007517,2.1,2731188,2,3014067,2,5116112,2.8,4804784,2.6,2854752,1.4,4367942,2.4,4471682,1.9,3440540,2.2,3641364,2.2,2829634,02.01.2016,5339186,3.8,4750442,2.9,3859195,2.5,3473283,2.2,2144066,1.7,4062338,2.3,7042661,4,4798020,3.1,1137005,0.9,6469958,3.5,3324717,2.4,4475286,2.7,3277684,2.1,2866627,1.8,1522133,1.4,2845060,1.8,4042080,2.8,3102552,2.8,4861997,3.1,3659184,2.3
Miscellaneous goods and services,12551491,8.7,14057920,10.2,15030777,10,16200641,9,14172647,7.7,18594272,9.4,18368607,10.1,16588984,7.2,13878842,9,20115077,11.9,11645692,8.4,15551884,11,13897228,8.4,14556346,9.6,17117966,10.6,10228937,8,15450141,8.9,15290900,8.6,12198349,8,9189349,7.3,15868260,8.6,11740003,8.6,14676579,8.9,15101260,9.7,14271664,08.09.2016,7483722,6.9,16109048,10,13548839,9.5,7667280,6.9,14634010,9.2,17471261,11.2
The average number of people in each province,3.52,,3.73,,3.85,,3.35,,3.26,,4.26,,4.01,,3.18,,3.66,,3.51,,3.58,,3.74,,4.10,,3.5,,3.62,,4.57,,3.68,,3.45,,3.63,,3.6,,3.75,,3.49,,4.6,,3.73,,3.14,,3.65,,3.33,,3.48,,4.16,,3.55,,3.43,
