Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);107902036;100;97579171;100;106275878;100;131214331;100;132978458;100;125797411;100;177371486;100;126236631;100;102645173;100;94199461;100;91564385;100;122717462;100;106478631;100;106396283;100;81731462;100;118559945;100;120113381;100;107773737;100;104786823;100;114895283;100;93436716;100;142529122;100;111470390;100;116383364;100;89716787;100;126153026;100;123129369;100;83942998;100;92803108;100;108498755;100;;;
Food & Beverages;28383760;26.3;28005264;28.7;33127549;31.2;34525971;26.3;43829631;33;31675163;25.2;29989320;16.9;37190256;29.5;25317091;24.7;22391307;23.8;2672254;29.2;33086083;27;28749535;27;27258347;25.6;26940491;33;28489168;24;31511310;26.2;24685367;22.9;27828381;26.6;30112384;26.2;27115068;29;41054190;28.8;25633793;23;29058179;25;31613483;35.2;31201746;24.7;33192232;27;23794024;28.3;28394006;30.6;33325359;30.7;;;
Tobacco;714806;0.7;838609;0.9;465512;0.4;408313;0.3;570404;0.4;582321;0.5;549746;0.3;485007;0.4;85246;0.1;263268;0.3;27055;0.3;523677;0.4;535116;0.5;316751;0.3;224672;0.3;478212;0.4;301355;0.2;458030;0.4;446415;0.4;508718;0.4;604039;0.6;677752;0.5;291075;0.3;918453;0.8;600758;0.7;423239;0.3;806004;0.6;508718;0.6;601000;0.6;525936;0.5;;;
Clothing & Shoes;6673194;6.2;6574641;6.7;9029366;8.5;6081966;4.6;7939263;6;7066517;5.6;6790657;3.8;7579727;6;6476289;6.3;4278615;4.5;745498;8.1;5592321;4.6;6932035;6.5;7066950;6.6;4270102;5.2;5942727;5;8004942;6.7;4563951;4.2;6680733;6.4;5654806;4.9;4865852;5.2;8434161;5.9;7263705;6.5;7135696;6.1;6226538;6.9;7553200;6;7250817;5.9;3360115;4;5043607;5.4;6470957;6;;;
Housing; water; electricity; gas and fuels;32203131;29.8;22918876;23.5;20138716;19;37162151;28.3;22503358;16.9;32860511;26.1;80337313;45.3;24599585;19.5;22245457;21.7;27483536;29.2;1908751;20.9;29893590;24.4;23090024;21.7;22803329;21.4;18479581;22.6;32904836;27.8;30728353;25.6;32420749;30.1;22254814;21.2;26320817;22.9;25959776;27.8;27938669;19.6;24218517;21.7;31042117;26.7;21294746;23.7;33860732;26.8;26694266;21.7;22384641;26.7;20938428;22.6;19991593;18.4
Supplies & services used in home furnishings;5927211;5.5;6446767;6.6;7977973;7.5;8090237;6.2;6861487;5.2;7891191;6.3;7006176;4;6648421;5.3;6684115;6.5;5051573;5.4;744696;8.1;7026675;5.7;6342505;6;7510804;7.1;3933304;4.8;7247860;6.1;7539560;6.3;8025882;7.4;6022150;5.8;6632392;5.8;5113193;5.5;6809008;4.8;6394382;5.7;7710225;6.6;3704896;4.1;6892612;5.5;7866210;6.4;3658440;4.4;6052487;6.5;4861877;4.5;;;
Healthcare;6673894;6.2;3881884;4;4658881;4.4;5909007;4.5;9890161;7.4;3680172;2.9;9355715;5.3;4856340;3.8;3275384;3.2;4129256;4.4;375767;4.1;8020832;6.5;4962558;4.7;5266845;5;4180613;5.1;6700754;5.7;5364065;4.5;4582152;4.3;5681444;5.4;4991510;4.3;4829208;5.2;4999791;3.5;4703314;4.2;6458765;5.6;4060147;4.5;6736011;5.3;5824076;4.7;4892923;5.8;4436075;4.8;5031382;4.6;;;
Transportation;9015596;8.4;11719091;12;11642464;11;15085664;11.5;18908691;14.2;15511500;12.3;16712603;9.4;19528505;15.5;18464810;18;12718948;13.5;854072;9.3;16631968;13.6;15333329;14.4;13729309;12.9;11544938;14.1;13477839;11.4;15100132;12.6;15207935;14.1;17755448;16.9;17639837;15.4;8934268;9.6;24699654;17.3;18908530;17;14398973;12.4;9204824;10.3;13938743;11.1;17663846;14.4;10739673;12.8;10450354;11.3;12163741;11.2;;;
Connections;2640586;2.4;2438633;2.5;2441922;2.3;2626187;2;3950078;3;3995459;3.2;3301206;1.9;3350417;2.6;2318752;2.3;2277040;2.4;244433;2.7;3318764;2.7;2346585;2.2;3077863;2.9;2169752;2.7;3249262;2.7;2792171;2.3;2393395;2.2;2668695;2.6;3091097;2.7;2196813;2.4;5105445;3.6;3085312;2.8;3040569;2.6;2408626;2.7;2945104;2.3;2632112;2.1;3081714;3.7;2062003;2.2;2474033;2.3;;;
Recreation & cultural affairs;2293354;2.1;2346017;2.4;2882145;2.7;4244285;3.2;3057769;2.3;4124637;3.3;4028037;2.3;4797863;3.8;2362486;2.3;2924866;3.1;349232;3.8;3218583;2.6;2752535;2.6;3489350;3.3;1221533;1.5;3962671;3.3;4034092;3.4;2980115;2.8;2752866;2.6;4029551;3.5;1445309;1.6;2721338;1.9;4336909;3.9;3749047;3.2;1662615;1.9;4676845;3.7;3572519;2.9;1321432;1.6;2820636;3;5577050;5.1;;;
