Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;;;
The total net cost (in Rials);57522909;100;59617413;100;79190129;100;78323774;100;85195899;100;88887369;100;104310754;100;87467708;100;65981772;100;54763741;100;55808979;100;90618152;100;68672556;100;69595920;100;52543227;100;85357364;100;80857174;100;52805055;100;65030777;100;75098565;;67143509;100;96215351;100;68017741;100;76166561;100;63736854;100;85470654;100;72492229;100;56353750;100;70307335;100;;;
Food & Beverages;15051716;26.2;16527156;27.7;21658806;27.4;19362709;24.7;25929435;30.4;21099865;23.7;17844763;17.1;24642541;28.2;15267807;23.1;14017288;25.6;15861300;28.4;23738830;26.2;15446509;22.5;17887917;25.7;18535409;35.3;20002476;23.4;20582936;25.5;12295354;23.3;19838974;30.5;17494861;23.3;18938322;28.2;29546961;30.7;17602398;25.9;18882176;24.8;19951268;31.3;19339071;22.6;17434610;24;15721274;27.9;19618276;27.9;;;
Tobacco;322233;0.6;403739;0.7;362080;0.5;239239;0.3;232908;0.3;360437;0.4;320445;0.3;413182;0.5;68437;0.1;148382;0.3;55297;0.1;365750;0.4;244378;0.3;155033;0.2;208703;0.4;474768;0.6;335813;0.4;234447;0.4;399789;0.6;446079;0.6;272080;0.4;818453;0.9;220541;0.3;396063;0.5;219570;0.3;228899;0.3;395226;0.6;157055;0.3;476366;0.7;;;
Clothing & Shoes;2944585;5.1;3992577;6.7;5059860;6.4;3815434;4.9;6253693;7.3;4384080;4.9;4331063;4.1;4665318;5.3;3394894;5.1;3251486;5.9;3503976;6.3;3905418;4.3;4115212;6;3999744;5.8;2807391;5.3;3329290;3.9;4903367;6.1;1842814;3.5;4754296;7.3;3772737;5;4585265;6.8;7030964;7.3;4043010;6;3692021;4.8;4589625;7.2;4364150;5.1;3810431;5.3;2168134;3.8;3735500;5.3;;;
Housing; water; electricity; gas and fuels;16935984;29.4;13750222;23.1;12589993;15.9;20377482;26;15637227;18.4;23515683;26.5;40438909;38.8;14735863;16.8;14438865;21.9;14875878;27.2;12701643;22.8;22647138;25;14673794;21.4;14205279;20.4;11371045;21.6;25480149;29.8;20651681;25.5;16034387;30.4;12786908;19.7;17471476;23.3;16349275;24.4;17628720;18.3;16195061;23.8;17233597;22.6;17247045;27.1;18495012;21.6;16064383;22.2;14650462;26;17577214;25
Supplies & services used in home furnishings;2900550;5;3471791;5.8;4935352;6.2;4911725;6.3;5516682;6.5;5224032;5.9;3834358;3.7;5142072;5.9;3479889;5.3;3053019;5.6;3194590;5.7;4450041;4.9;4331205;6.3;6084058;8.7;2439654;4.6;4392733;5.1;4487357;5.5;2845205;5.4;4966481;7.6;3868051;5.1;3789479;5.6;4577582;4.8;4926709;7.3;4204810;5.5;2672020;4.2;4996266;5.8;3894066;5.4;2027592;3.6;4144118;5.9;;;
Healthcare;2563398;4.4;1787368;3;3188218;4;3190487;4.1;4539951;5.3;1862744;2.1;4489016;4.3;3591543;4.1;1292726;2;2222917;4.1;2349142;4.2;4507518;5;2083582;3;2003315;2.9;2233862;4.3;3809034;4.5;3798148;4.7;2975331;5.6;3404607;5.2;3908870;5.2;2881959;4.3;2894250;3;3486210;5.1;3733166;4.9;2096387;3.3;5000999;5.8;3252776;4.5;1831303;3.2;2268778;3.2;;;
Transportation;6316103;11;8449203;14.2;15366222;19.4;9532934;12.2;10677541;12.5;16197710;18.2;13892473;13.3;15236782;17.4;13042360;19.8;7914298;14.4;7843242;14;13782121;15.2;13822485;20.1;9126206;13.1;6359691;12.1;11464342;13.4;9415079;11.6;6908211;13.1;7357144;11.3;12665356;16.9;6793926;10.1;14861344;15.4;8241272;12.1;14086830;18.5;7233321;11.3;14037117;16.4;13724605;18.9;9940086;17.6;8823418;12.6;;;
Connections;1209295;2.1;1308002;2.2;1342594;1.7;1316837;1.7;1421355;1.7;2125200;2.4;2198128;2.1;1683655;1.9;1137833;1.7;1145336;2.1;732212;1.3;2130946;2.3;1390871;2;1296829;1.9;1253722;2.4;1766531;2.1;1380435;1.7;1094105;2.1;1141244;1.8;1650326;2.2;1463370;2.2;2446782;2.5;1437460;2.1;1582886;2.1;1062673;1.7;1937729;2.3;1233637;1.7;1610857;2.9;1281397;1.8;;;
Recreation & cultural affairs;1086015;1.9;1199193;2;2787264;3.5;2207561;2.8;2945753;3.5;1946422;2.2;2583916;2.5;2758368;3.2;1902346;2.9;1487857;2.7;2029674;3.6;2523081;2.8;2240879;3.3;2601352;3.7;848393;1.6;2252082;2.6;2903117;3.6;1711517;3.2;2055139;3.2;2472413;3.3;2188387;3.3;2425284;2.5;2000743;2.9;2152587;2.8;1110092;1.7;3057226;3.6;2057542;2.8;1157826;2.1;1826657;2.6;;;
