Gender and province,1392 Unemployment rate – population aged 15 and over - Male and Female (Percentage),1392 Unemployment rate – population aged 15 and over - Male (Percentage),1392 Unemployment rate – population aged 15 and over - Female (Percentage),1393 Unemployment rate - population aged 15 and over - Male and Female (Percentage),1393 Unemployment rate - population aged 15 and over - Male (Percentage),1393 Unemployment rate - population aged 15 and over – Female (Percentage),1394 Unemployment rate - population aged 15 and over – Male and Female (Percentage),1394 Unemployment rate - population aged 15 and over – Male (Percentage),1394 Unemployment rate - population aged 15 and over - Female (Percentage)
Whole country ,10.5,8.6,19.8,10.6,8.8,19.7,11.1,9.3,19.5
Azerbaijan  East,9.6,7.8,17.1,7.8,6.8,11.5,8.3,7,8.9
Azerbaijan  West,9.3,9.1,10,9.9,9.7,11.2,11,11.4,9
Ardabil,12.3,11.4,15.8,11.4,10.6,14.1,12.9,12,15.7
Isfahan,10.8,9.1,18.5,12.4,9.9,23.3,13.8,10.9,25.6
Alborz,10.7,8.2,27,11.7,9.8,24.5,12.4,10.1,25.9
Ilam,13.8,10.9,26.8,11.1,8.3,21,11.6,8.9,21.2
Bushehr,9.1,8.7,10.9,9,8.3,12.7,1.7,8.9,13.7
Tehran,9.9,7.6,23.1,8.3,6.5,18.1,8.1,6.5,16.9
Chahar Mahaal and Bakhtiari,10.7,9,22.3,14.9,13,25.2,16.4,15.6,20.3
Khorasan  South,8,7.2,10.7,7.5,6.6,10.9,8.7,7.1,14.3
Khorasan  Razavi,7.9,7,12.6,10.8,9.1,19.9,13.3,11.7,20.1
Khorasan  North,12.5,10.9,17.4,14.3,14.4,14.1,11.2,11.6,10
Khuzestan,13.1,10.3,29.5,9.9,8.4,19.5,10.9,8.9,21.7
Zanjan,10,8.7,15.5,9.9,9.2,13.1,9.7,9,12.8
Semnan,7.4,5.5,15.9,11.3,8.7,21.8,8.5,6.5,16.7
Sistan and Baluchestan,11.4,11.5,10.7,10.8,10.2,14.3,11.5,10.8,15.5
Fars,13.3,10.4,29.6,12.4,9.1,31.9,12.2,9.1,28.8
Qazvin,10.3,8.2,20.2,11.9,10.7,17.9,11.7,10.4,18.4
Qom,7.7,6.5,15.6,9.2,8.5,14.5,11.3,9.7,21.6
Kurdistan,13.6,12.8,18.5,11.6,10.1,19.5,13.3,11.6,22.2
Kerman,6.1,4.5,15.9,7,6,13.5,7.9,5.5,21.4
Kermanshah,14.6,12.6,24.3,15.7,14.2,22.4,17.7,16.3,23.2
Kohgiluyeh and Boyer-Ahmad,16.5,13.7,37.3,14.8,12.1,35.7,17.7,15,33.5
Golestan,5.8,4,12.7,12.3,8.7,28.5,11.7,8.5,25.8
Gilan,13.6,11.3,22.6,13.3,12.3,17.3,11,9.7,15.9
Lorestan,17.1,15.8,23.9,14.9,12.7,30.7,13.3,11.5,22.9
Mazandaran,11,6.6,30.4,12.7,8.3,32.4,12.1,8.3,27.6
Markazi,8.6,7.4,15.9,7,6,14.9,7.9,6.7,17.8
Hormozgan,7.3,6.2,16,10.3,8.1,22.5,11.9,10.9,15.6
Hamadan,7.7,7.9,6.2,7.7,7.2,10.7,8.5,7.7,13.5
Yazd,6.5,4.3,20.7,7.7,5.6,22,11.2,8.3,23.7
