Provinces,Unemployment rate 1384 (Percentage),Unemployment rate 1385 (Percentage),Unemployment rate 1386 (Percentage),Unemployment rate 1387 (Percentage),Unemployment rate 1388 (Percentage),Unemployment rate 1389 (Percentage),Unemployment rate 1390 (Percentage),Unemployment rate 1391 (Percentage)
Whole country,11.5,11.3,10.5,10.4,11.9,13.5,12.3,12.2
Azerbaijan  East,5.2,5.3,7.1,6.8,10,11.7,8.8,12.5
Azerbaijan  West,8.7,10,9.6,10.3,10.7,12.4,13,11.1
Ardabil,11.6,11.1,11.8,9.9,12,14.2,12.7,13.4
Isfahan,12.3,11,9.6,9.4,12,15.3,13.2,13.8
Alborz,,,,,,,19.3,14.9
Ilam,15.1,13.6,12.7,14.6,12.6,15.8,15.7,17.3
Bushehr,12.7,10.5,9.3,19.7,11.7,13.3,11,11.7
Tehran,13.6,13,11.3,11,11.9,14.2,11.3,11.6
Chahar Mahaal and Bakhtiari,11.7,12.5,12.4,14.1,16.4,13.6,13.3,10.8
Khorasan  South,9.7,11.1,12.7,10.1,7,9.1,8.4,6.4
Khorasan  Razavi,9.1,8.6,8,8.3,11.2,10.6,9.1,8.7
Khorasan  North,7.1,7,7.8,7.6,6.4,7.6,12.1,10.6
Khuzestan,13.2,12.9,11.6,12.5,13.1,14.9,10.5,12.8
Zanjan,9.5,11.7,8.8,9.5,8.4,9.6,8.4,11.4
Semnan,11.3,10.6,8.4,8.3,9.1,12,10.3,9.6
Sistan and Baluchestan,9.9,10.9,12,11.2,13.3,12.1,9.9,10.5
Fars,13.2,13.7,11.6,12.2,14.4,20.5,18.5,16.8
Qazvin,11.1,10.3,10.4,8.4,12.2,11.2,12.4,12.1
Qom,10.3,11.1,10.3,9.9,10.8,10.4,9.8,11.3
Kurdistan,9.3,10.7,9.1,12.5,10.8,15.1,14,14
Kerman,15,13.4,11.6,9.1,11.9,11,12.1,7.8
Kermanshah,14.5,16.6,14.7,12.1,13.8,14.5,15.7,16.2
Kohgiluyeh and Boyer-Ahmad,18.1,15.6,17.6,14.9,14.8,13.2,14.1,12.3
Golestan,8.7,9,8.9,8.3,7.1,8.5,8.7,8.9
Gilan,13.7,11.4,12.1,13,15.3,16.7,16.6,15.6
Lorestan,15,16.2,17.5,17.1,19,17.3,19.2,20.2
Mazandaran,9.8,8,7.7,7.4,8.1,11.7,10.2,9.8
Markazi,12.6,12.5,10.4,11.8,11.2,9.7,11,10.4
Hormozgan,10.5,7.7,9.4,8.4,6.9,11.2,11,11.5
Hamadan,11.2,13.55,13.9,14,18,13.9,12.4,9.7
Yazd,8,7.4,8.7,6.6,9,9.4,6,10.2
